TLIST(Q1),Quarter,Type of Offence,VALUE
20031,2003Q1,Homicide & related offences (01),28
20031,2003Q1,Murder (0111),10
20031,2003Q1,Manslaughter (0112),7
20031,2003Q1,Infanticide (0113),0
20031,2003Q1,Dangerous driving leading to death (012),11
20031,2003Q1,Sexual offences (02),575
20031,2003Q1,Rape of a male or female (0211),105
20031,2003Q1,Defilement of a boy or girl less than 17 years old (0212),47
20031,2003Q1,Sexual offence involving mentally impaired person (0213),4
20031,2003Q1,Aggravated sexual assault (0214),2
20031,2003Q1,Sexual assault (not aggravated) (0215),375
20031,2003Q1,Other sexual offences (022),42
20031,2003Q1,"Attempts/threats to murder, assaults, harassments and related offences (03)",3637
20031,2003Q1,Murder-attempt (0311),2
20031,2003Q1,Threat to kill or cause serious harm  (0313 ),9
20031,2003Q1,Harassment and related offences (033),347
20031,2003Q1,"Assault causing harm, poisoning (034)",1144
20031,2003Q1,Other assault (035),2135
20031,2003Q1,Dangerous or negligent acts (04),4356
20031,2003Q1,Dangerous driving causing serious bodily harm (0411),4
20031,2003Q1,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412, 0413)",2656
20031,2003Q1,Driving/in charge of a vehicle while over legal alcohol limit (0412),2634
20031,2003Q1,Driving/in charge of a vehicle under the influence of drugs (0413),22
20031,2003Q1,Dangerous/careless driving and motorway offences (0414),936
20031,2003Q1,Speeding (0415),675
20031,2003Q1,Endangerment with potential for serious harm/death (0421),16
20031,2003Q1,"Abandoning a child, child neglect and cruelty (0422)",32
20031,2003Q1,Unseaworthy/dangerous use of boat or ship (0423),0
20031,2003Q1,False alarm/interference with aircraft or air transport facilities (0424),5
20031,2003Q1,Endangering traffic offences (0425),32
20031,2003Q1,Kidnapping and related offences (05),38
20031,2003Q1,False imprisonment (0511),31
20031,2003Q1,Abduction of person under 16 years of age (0512),7
20031,2003Q1,Human trafficking offences (0513),0
20031,2003Q1,"Robbery, extortion and hijacking offences (06)",842
20031,2003Q1,Robbery of an establishment or institution (0611),327
20031,2003Q1,Robbery of cash or goods in transit (0612),15
20031,2003Q1,Robbery from the person (0613),474
20031,2003Q1,Blackmail or extortion (0621),5
20031,2003Q1,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",21
20031,2003Q1,Burglary and related offences (07),6582
20031,2003Q1,Aggravated burglary (0711),94
20031,2003Q1,Burglary (not aggravated) (0712),6425
20031,2003Q1,"Possession of an article (with intent to burgle, steal, demand) (0713)",63
20031,2003Q1,Theft and related offences (08),18410
20031,2003Q1,Theft/taking of vehicle and related offences (081),3367
20031,2003Q1,Theft from person (0821),1640
20031,2003Q1,Theft from shop (0822),3850
20031,2003Q1,"Other thefts, handling stolen property (084)",9553
20031,2003Q1,"Fraud, deception and related offences (09)",1136
20031,2003Q1,Controlled drug offences (10),1883
20031,2003Q1,Importation of drugs (1011),9
20031,2003Q1,Cultivation or manufacture of drugs (1012),12
20031,2003Q1,Possession of drugs for sale or supply (1021),574
20031,2003Q1,Possession of drugs for personal use (1022),1214
20031,2003Q1,Other drug offences (103),74
20031,2003Q1,Weapons and explosives offences (11),513
20031,2003Q1,"Explosives, chemical weapons offences (111)",2
20031,2003Q1,Discharging a firearm (1121),54
20031,2003Q1,Possession of a firearm (1122),127
20031,2003Q1,Offensive weapons offences (n.e.c.) (113),330
20031,2003Q1,Fireworks offences (114),0
20031,2003Q1,Damage to property and to the environment  offences (12),8728
20031,2003Q1,Arson (1211),341
20031,2003Q1,Criminal damage (not arson) (1212),8365
20031,2003Q1,Litter offences (1221),22
20031,2003Q1,Public order and other social code offences (13),9769
20031,2003Q1,Disorderly conduct (131),8479
20031,2003Q1,Trespass offences (132),346
20031,2003Q1,Liquor licensing offences (133),647
20031,2003Q1,Prostitution offences (134),39
20031,2003Q1,"Regulated betting/money, collection/trading offences (135)",48
20031,2003Q1,Social code offences (n.e.c.) (136),210
20031,2003Q1,Road and traffic offences (14),9798
20031,2003Q1,"Driving licence-failure to have, produce, etc. (1411)",337
20031,2003Q1,"Insurance-failure to have, produce, display, etc. (1412)",3244
20031,2003Q1,Vehicle tax/registration offences (142),760
20031,2003Q1,Roadworthiness/regulatory offences (143),180
20031,2003Q1,Obstruction under Road Traffic Acts (1432),36
20031,2003Q1,Other road offences (1433),4905
20031,2003Q1,Road transport - carriage of goods offences (1441),201
20031,2003Q1,Public service vehicle offences (1442),135
20031,2003Q1,Light rail offences (Luas) (1443),0
20031,2003Q1,"Offences against government, justice procedures and organisation of crime (15)",1773
20031,2003Q1,Offences against government and its agents (151),61
20031,2003Q1,Organisation of crime and conspiracy to commit crime (152),7
20031,2003Q1,Perverting the course of justice (153),48
20031,2003Q1,"Offences while in custody, breach of court orders (157)",1657
20031,2003Q1,Offences not elsewhere classified (16),538
20032,2003Q2,Homicide & related offences (01),22
20032,2003Q2,Murder (0111),8
20032,2003Q2,Manslaughter (0112),3
