Quarter,year,county,crime_type,crime_count
2019Q1,2019,Carlow,Assault,54
2019Q1,2019,Carlow,Burglary,36
2019Q1,2019,Carlow,Damage to Property,40
2019Q1,2019,Carlow,Drug Offences,78
2019Q1,2019,Carlow,Fraud,24
2019Q1,2019,Carlow,Theft,141
2019Q1,2019,Cavan,Assault,94
2019Q1,2019,Cavan,Burglary,54
2019Q1,2019,Cavan,Damage to Property,68
2019Q1,2019,Cavan,Drug Offences,38
2019Q1,2019,Cavan,Fraud,24
2019Q1,2019,Cavan,Theft,100
2019Q1,2019,Clare,Assault,97
2019Q1,2019,Clare,Burglary,55
2019Q1,2019,Clare,Damage to Property,91
2019Q1,2019,Clare,Drug Offences,113
2019Q1,2019,Clare,Fraud,38
2019Q1,2019,Clare,Theft,200
2019Q1,2019,Cork,Assault,541
2019Q1,2019,Cork,Burglary,214
2019Q1,2019,Cork,Damage to Property,536
2019Q1,2019,Cork,Drug Offences,512
2019Q1,2019,Cork,Fraud,153
2019Q1,2019,Cork,Theft,1332
2019Q1,2019,Donegal,Assault,191
2019Q1,2019,Donegal,Burglary,61
2019Q1,2019,Donegal,Damage to Property,148
2019Q1,2019,Donegal,Drug Offences,74
2019Q1,2019,Donegal,Fraud,59
2019Q1,2019,Donegal,Theft,173
2019Q1,2019,Dublin,Assault,1794
2019Q1,2019,Dublin,Burglary,2013
2019Q1,2019,Dublin,Damage to Property,2416
2019Q1,2019,Dublin,Drug Offences,1793
2019Q1,2019,Dublin,Fraud,832
2019Q1,2019,Dublin,Theft,8814
2019Q1,2019,Galway,Assault,201
2019Q1,2019,Galway,Burglary,109
2019Q1,2019,Galway,Damage to Property,196
2019Q1,2019,Galway,Drug Offences,128
2019Q1,2019,Galway,Fraud,84
2019Q1,2019,Galway,Theft,441
2019Q1,2019,Kerry,Assault,175
2019Q1,2019,Kerry,Burglary,52
2019Q1,2019,Kerry,Damage to Property,98
2019Q1,2019,Kerry,Drug Offences,180
2019Q1,2019,Kerry,Fraud,55
2019Q1,2019,Kerry,Theft,236
2019Q1,2019,Kildare,Assault,203
2019Q1,2019,Kildare,Burglary,296
2019Q1,2019,Kildare,Damage to Property,173
2019Q1,2019,Kildare,Drug Offences,164
2019Q1,2019,Kildare,Fraud,81
2019Q1,2019,Kildare,Theft,610
